Stream,Duration,Avg Viewers,Max Viewers,Followers,Views,Title,Games
2023-12-31 23:09,115,7,8,0,0,除夜の鐘を鳴らす会(牧場物語わくわくアニマルマーチ any% RTA) EST:8H@bonkotu25,
2024-01-01 23:17,347,11,14,0,0,除夜の鐘を鳴らす会リターンズ(牧場物語わくわくアニマルマーチ any% RTA) EST:8H@bonkotu25,
2024-01-02 21:53,191,14,22,1,0,新春 斧投げ @bonkotu25,
2024-01-03 21:12,412,8,12,2,0,【JP/mini EN】【RTA】【HM ap】牧場物語アニマルマーチ Individual Bells Green Bell @bonkotu25,
2024-01-05 01:57,197,26,56,2,0,【JP/mini EN】【RTA】【HM ap】牧場物語アニマルマーチ Individual Bells Green Bell @bonkotu25,
2024-01-07 05:30,194,17,23,1,0,【JP/mini EN】【RTA】【HM ap】牧場物語アニマルマーチ Individual Bells Green Bell @bonkotu25,
2024-01-07 20:15,209,12,21,3,0,【JP/EN】【RTA】unpacking初見並走会@bonkotu25,
2024-01-08 22:27,397,26,49,2,0,【JP/mini EN】【RTA】【HM ap】牧場物語アニマルマーチ Individual Bells Yellow Bell @bonkotu25,
2024-01-19 04:57,67,5,5,0,0,【JP/mini EN】配信テスト 原神デイリー@bonkotu25,
2024-01-23 01:48,146,57,81,0,0,【JP/mini EN】【RTA】みんな大好き塊魂 @bonkotu25,
2024-01-24 02:03,91,5,5,0,0,【JP/mini EN】【RTA】原神デイリー@bonkotu25,
2024-01-25 01:32,142,13,19,0,0,【JP/mini EN】【RTA/speedrun】みんな大好き塊魂 @bonkotu25,
2024-01-29 03:46,98,16,17,0,0,【JP/mini EN】【RTA/speedrun】原神デイリー @bonkotu25,
2024-01-31 01:04,90,7,8,0,0,【JP/mini EN】PC負荷テスト in パルワールド @bonkotu25,
2024-02-01 00:04,310,10,15,0,0,【JP/mini EN】PC負荷テスト in 原神 @bonkotu25,
2024-02-02 00:40,294,12,26,1,0,【JP/mini EN】原神デイリーといつもの @bonkotu25,
2024-02-03 00:52,962,49,149,2,0,【JP/mini EN】原神デイリーといつもの @bonkotu25,
2024-02-05 01:22,72,8,8,0,0,【JP/mini EN】今日はちゃんと寝ます @bonkotu25,
2024-02-07 01:48,196,8,10,0,0,【JP/mini EN】今日はちゃんと寝ます @bonkotu25,
2024-02-08 01:29,215,6,10,0,0,【JP/mini EN】今日はちゃんと寝ます 原神やってパルパル @bonkotu25,
2024-02-09 01:42,142,21,30,0,0,【JP/mini EN】今日はちゃんと寝ます 原神やってパルパル @bonkotu25,
2024-02-14 02:00,134,9,12,0,0,【JP/mini EN】今日はちゃんと寝ます 原神やってパルパル @bonkotu25,
2024-02-15 01:08,206,7,10,0,0,【JP/mini EN】【北陸楽しかった】とりあえずパルパル @bonkotu25,
2024-02-19 01:26,158,5,5,0,0,【JP/mini EN】【北陸楽しかった】【RTA】みんな大好き塊魂 @bonkotu25,
2024-02-22 01:44,110,5,5,0,0,【JP/mini EN】【北陸楽しかった】【RTA】みんな大好き塊魂 @bonkotu25,
2024-02-22 04:01,93,24,56,1,0,【JP/mini EN】【北陸楽しかった】【RTA】みんな大好き塊魂 @bonkotu25,
2024-02-26 01:24,240,45,66,0,0,【JP/mini EN】【北陸楽しかった】【RTA】みんな大好き塊魂ー>原神デイリー @bonkotu25,
2024-02-28 03:15,79,5,5,0,0,【JP/mini EN】【RTA】みんな大好き塊魂ー>原神デイリー @bonkotu25,
2024-02-29 04:30,214,40,55,0,0,【JP/mini EN】【RTA】みんな大好き塊魂ー>原神デイリー @bonkotu25,
2024-03-01 01:08,226,75,105,0,0,【JP/mini EN】【RTA】みんな大好き塊魂ー>原神デイリー @bonkotu25,
2024-03-03 01:22,222,11,17,0,0,【JP/mini EN】【RTA】みんな大好き塊魂ー>原神デイリー @bonkotu25,
2024-03-06 02:20,194,23,34,0,0,【JP/mini EN】【RTA】みんな大好き塊魂ー>原神デイリー @bonkotu25,
2024-03-09 03:42,162,26,32,0,0,【JP/mini EN】バックパックバトル @bonkotu25,
2024-03-10 01:58,276,12,15,0,0,【JP/mini EN】【RTA】みんな大好き塊魂 →のんびり遊びます @bonkotu25,
2024-03-11 02:15,290,152,348,0,0,【JP/mini EN】【RTA】みんな大好き塊魂 →のんびり遊びます @bonkotu25,
2024-03-14 02:44,110,5,5,0,0,【JP/mini EN】千織の育成頑張る @bonkotu25,
2024-03-17 03:55,519,33,71,2,0,【JP/mini EN】【RTA】原神からの街森 @bonkotu25,
2024-03-19 03:20,104,21,23,0,0,【JP/mini EN】原神やってからなにか遊ぶ @bonkotu25,
2024-03-20 02:34,240,10,15,0,0,【JP/mini EN】【RTA/speedrun】街森(金網) @bonkotu25,
2024-03-22 02:46,158,48,119,3,0,【JP/mini EN】【RTA/speedrun】animal Crossing 街へ行こうよどうぶつの森(金網) @bonkotu25,
2024-03-25 01:45,219,10,13,0,0,【JP/mini EN】【RTA/speedrun】原神終わったら animal Crossing 街へ行こうよどうぶつの森(金網) @bonkotu25,
2024-03-28 03:30,94,6,6,0,0,【JP/mini EN】【RTA/speedrun】原神終わったらなんかやる@bonkotu25,
